serial,transaction_id,district,mandi,arrival_date,entry_date,crop,min_price,modal_price,max_price,arrival_qty,dispatch_qty,state_in_out,trader_type,faq_status
1,39011003202605,सरगुजा,अंबिकापुर,10/03/2026,10/03/2026,धान(Paddy fine),2389,2389,2389,90,90,अंदर से,व्यापारी,NON FAQ
2,39011003202605,सरगुजा,अंबिकापुर,10/03/2026,10/03/2026,धान(Paddy Coarse),2369,2369,2369,72,72,अंदर से,व्यापारी,NON FAQ
3,39021003202601,बलरामपुर,कुसमी,10/03/2026,10/03/2026,कोदो-कुटकी(Local),3000,3000,3000,350,350,अंदर से,व्यापारी,FAQ
4,39051003202601,सुरजपुर,सुरजपुर,10/03/2026,10/03/2026,सावां(Savo Others),1300,1300,1300,10,10,अंदर से,व्यापारी,NON FAQ
5,40021003202601,गौरेला पेन्ड्रा मरवाही,पेण्ड्रारोड,10/03/2026,10/03/2026,धान(Khadwan),0,0,0,202,0,अंदर से,व्यापारी,FAQ
6,40021003202601,गौरेला पेन्ड्रा मरवाही,पेण्ड्रारोड,10/03/2026,10/03/2026,धान(MTU-1010),2000,2000,2000,2876,2876,अंदर से,व्यापारी,FAQ
7,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,नींबू(Local),5000,5200,5500,80,80,अंदर से,व्यापारी,NON FAQ
8,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,कुम्हड़ा(Local),1200,1300,1400,250,250,अंदर से,व्यापारी,NON FAQ
9,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,फूल गोभी(Local),2200,2300,2400,110,110,अंदर से,व्यापारी,NON FAQ
10,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,पालक भाजी(Spinach),1000,1100,1200,75,75,अंदर से,व्यापारी,NON FAQ
11,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,अरबी(Yam),1500,1600,1700,60,60,अंदर से,व्यापारी,NON FAQ
12,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,टमाटर(Local),1200,1300,1400,2300,2300,अंदर से,व्यापारी,NON FAQ
13,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,बैंगन(Brinjal),1200,1300,1400,200,200,अंदर से,व्यापारी,NON FAQ
14,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,मैथी(Methi),1000,1150,1200,70,70,अंदर से,व्यापारी,NON FAQ
15,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,भिण्डी(Bhindi),1800,1900,2000,150,150,अंदर से,व्यापारी,NON FAQ
16,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,कटहल(Jack Fruit),3000,3100,3200,80,80,अंदर से,व्यापारी,NON FAQ
17,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,अन्य हरी एवं ताजी सब्जियाँ(Other Vegetables),1800,5800,9500,385,385,अंदर से,व्यापारी,NON FAQ
18,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,मुनगा(Local),1800,1900,2000,175,175,अंदर से,व्यापारी,NON FAQ
19,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,सेव(Apple),8500,8800,9000,200,200,अंदर से,व्यापारी,NON FAQ
20,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,अंगूर(Indian),9000,9200,9300,75,75,अंदर से,व्यापारी,NON FAQ
21,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,पपीता(Papaya),2500,2800,3000,100,100,अंदर से,व्यापारी,NON FAQ
22,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,मोसम्बी(Mousambi),4500,4800,5000,120,120,अंदर से,व्यापारी,NON FAQ
23,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,लौकी(Bottle Gourd),1800,1900,2000,100,100,अंदर से,व्यापारी,NON FAQ
24,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,केला(Banana - Ripe),2000,2100,2200,450,450,अंदर से,व्यापारी,NON FAQ
25,40071003202607,बिलासपुर,बिलासपुर,10/03/2026,10/03/2026,आम(Dusheri),9000,9200,9300,65,65,अंदर से,व्यापारी,NON FAQ
